緯度,経度,住所,名称,カテゴリ,費用,説明
35.891899,139.626831,埼玉県さいたま市中央区上落合2-5-35 八幡ビル2F,one step アカデミア,発達障害・グレーゾーン専門,月2〜4万円程度,発達障害/グレーゾーン専門。講師:生徒=1:4少人数、マンツーマンコースあり。【費用】月2〜4万円程度（コースにより異なる）
35.856739,139.651138,埼玉県さいたま市浦和区高砂3-10-3 八千代ビル3F,ソーシャルブレインズ 浦和西口教室,放課後デイ（学習支援型）,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。TEL:048-767-3142【費用】受給者証利用で月額上限4600円
35.886356,139.645508,埼玉県さいたま市浦和区上木崎4-9-11 横田ビル2F,ソーシャルブレインズ 上木崎教室,放課後デイ（学習支援型）,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。TEL:048-711-3019【費用】受給者証利用で月額上限4600円
35.90736,139.633499,埼玉県さいたま市大宮区東町1-32-2 セレクト大宮東町ビル3F,ソーシャルブレインズ 大宮東口教室,放課後デイ（学習支援型）,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。【費用】受給者証利用で月額上限4600円
35.948608,139.645172,埼玉県さいたま市見沼区東大宮5-34-2,あすぽーと 東大宮教室,放課後デイ（学習支援型）,月上限4600円（受給者証）,学習塾ノウハウを活かした放課後等デイ。SST+宿題/補習/受験指導。TEL:048-797-6066【費用】受給者証利用で月額上限4600円
35.924133,139.615753,埼玉県さいたま市北区大成町4-125-1 ドゥエル石川1階,あすぽーと 鉄道博物館教室,放課後デイ（学習支援型）,月上限4600円（受給者証）,学習塾ノウハウを活かした放課後等デイ。SST+宿題/補習/受験指導。TEL:048-788-3953【費用】受給者証利用で月額上限4600円
35.880001,139.692154,埼玉県さいたま市緑区芝原3-2-6-2F,芝原塾,地域密着型 個別指導,月1〜3万円程度,完全個別指導。学校授業フォロー・補習対応。「できた!」を重視する指導。【費用】月1〜3万円程度（学年・コマ数により異なる）
35.890072,139.646805,埼玉県さいたま市大宮区北袋町2-496-4-101,個別学習塾ひより,地域密着型 個別指導,月1〜3万円程度,個別カリキュラム。理解度に応じた難易度調整。低学年は学童代わりにも可。【費用】月1〜3万円程度（要問合せ）
35.930927,139.620193,埼玉県さいたま市北区（宮原駅付近）,高進塾,地域密着型 個別指導,月1〜3万円程度,自立学習+個別計画。学校授業フォロー。土日も指導。【費用】月1〜3万円程度（要問合せ）
35.908134,139.620728,埼玉県さいたま市大宮区桜木町2-8-4 山下ビル3F,自立学習RED 大宮教室,大手チェーン,月4900円〜,正社員講師+AIタブレット。予習型で学校授業対応。【費用】月4900円〜（週1回・小学生）。低料金が特徴
35.857063,139.651749,埼玉県さいたま市浦和区高砂3-6-18 けやきビル5F,自立学習RED 浦和教室,大手チェーン,月4900円〜,正社員講師+AIタブレット。予習型で学校授業対応。【費用】月4900円〜（週1回・小学生）。低料金が特徴
35.90395,139.621185,埼玉県さいたま市大宮区桜木町（大宮駅徒歩4分）,森塾 大宮西口校,大手チェーン,月5400円〜,先生1人に生徒2人まで。成績保証制度あり。【費用】月5400円〜（週1回・小学生）。中学生は月10800円〜
35.852463,139.669586,埼玉県さいたま市南区南浦和（南浦和駅近く）,森塾 南浦和校,大手チェーン,月5400円〜,先生1人に生徒2人まで。成績保証制度あり。【費用】月5400円〜（週1回・小学生）
35.862011,139.645584,埼玉県さいたま市浦和区（北浦和駅近く）,個別教室のトライ 北浦和駅前校,大手チェーン,月2〜4万円程度,完全マンツーマン指導。学校フォロー/定期テスト対策コースあり。【費用】月2〜4万円程度（学年・回数による）
35.9048,139.61702,埼玉県さいたま市大宮区桜木町4-252 ユニオンビルディング3F,個別教室のトライ 大宮駅前校,大手チェーン,月2〜4万円程度,完全マンツーマン指導。学校フォロー/定期テスト対策コースあり。【費用】月2〜4万円程度（学年・回数による）
35.857582,139.65535,埼玉県さいたま市浦和区高砂2-1-1 明治安田生命浦和ビル4F,東京個別指導学院 浦和教室,大手チェーン,月2〜4万円程度,担当講師制。1対1/1対2選択可。学校別テスト対策。振替自由。【費用】月2〜4万円程度（学年・回数による）
35.861683,139.645676,埼玉県さいたま市内複数教室（浦和・大宮・北浦和など）,スクールIE さいたま市内各校,大手チェーン,月1.5〜3.5万円程度,性格診断に基づく個別指導。学校授業補習〜受験対策。【費用】月1.5〜3.5万円程度（学年・回数による）
